Câu hỏi,Trả lời
I. Nhóm Sản Phẩm Sức Khỏe Cao Cấp,
1. The Fucoidan,
Tên sản phẩm là gì?,The Fucoidan
Sản phẩm này có điểm nổi bật gì?,Chứa 100% tinh chất Fucoidan chiết xuất từ Tảo nâu Okinawa Mozuku Nhật Bản với hàm lượng Fucoidan cao 200mg/viên (1200mg/liều dùng). Sản phẩm đã có mặt trên thị trường 10 năm và có giá thành cạnh tranh.
Công dụng của The Fucoidan là gì?,"Tăng cường miễn dịch cơ thể, giảm tác dụng phụ sau hóa, xạ trị, phục hồi sức khỏe sau điều trị, phòng ngừa và hỗ trợ điều trị ung thư, hạn chế tình trạng di căn."
Liều dùng của The Fucoidan như thế nào?,"Duy trì 3 viên/ngày. Tăng cường 6 viên/ngày (2 lần/ngày, mỗi lần 3 viên)."
Quy cách và giá của The Fucoidan là bao nhiêu?,"Hộp 90 viên, giá 2.200.000₫."
The Fucoidan được sản xuất bởi ai?,"Waki Pharmaceutical Co., Ltd Nhật Bản, uy tín từ 1882."
2. The Fucoidan xK (Phiên bản nâng cấp),
Tên sản phẩm là gì?,The Fucoidan xK (Phiên bản nâng cấp)
Sản phẩm này có điểm nổi bật gì?,"Công thức tối ưu cho hệ miễn dịch, kết hợp 3 thành phần quý hiếm: Tảo Nâu Mozuku (hàm lượng Fucoidan 200mg/viên), Đông Trùng Hạ Thảo (20mg/viên) và Nấm Agaricus (10mg/viên). Hàm lượng tinh chất Fucoidan cao 1200mg/liều dùng."
Công dụng của The Fucoidan xK là gì?,"Tăng cường miễn dịch cơ thể, giảm tác dụng phụ sau hóa, xạ trị, phục hồi sức khỏe sau điều trị, phòng ngừa và hỗ trợ điều trị ung thư, hạn chế tình trạng di căn."
Liều dùng của The Fucoidan xK như thế nào?,"Duy trì 3 viên/ngày. Tăng cường 6 viên/ngày (2 lần/ngày, mỗi lần 3 viên)."
Quy cách và giá của The Fucoidan xK là bao nhiêu?,"Hộp 180 viên, giá 5.280.000₫."
The Fucoidan xK được sản xuất bởi ai?,"Waki Pharmaceutical Co., Ltd Nhật Bản, uy tín từ 1882."
3. β-Glucan Ball,
Tên sản phẩm là gì?,β-Glucan Ball
Sản phẩm này có điểm nổi bật gì?,"Chiết xuất từ 9 loại nấm quý Nhật Bản (Đông Trùng Hạ Thảo, Linh Chi, Agaricus, Nấm Thông, Chaga, Linh chi Rokkaku, Maitake, Phellinus, Nấm Súp Ld). Hàm lượng Beta Glucan Ball cao 169mg/liều dùng. Dạng viên hoàn tăng hiệu quả hấp thu, đã được người tiêu dùng phản hồi tích cực từ 2012."
Công dụng của β-Glucan Ball là gì?,"Ức chế tế bào ung thư, hạn chế tình trạng di căn, bồi bổ sức khỏe trong và sau xạ trị và hóa trị, tăng cường sức đề kháng, hỗ trợ phục hồi sau phẫu thuật."
Liều dùng của β-Glucan Ball như thế nào?,"1-2g/ngày, sau ăn 30 phút."
Quy cách và giá của β-Glucan Ball là bao nhiêu?,"Hộp 30 gói, giá 3.250.000₫."
β-Glucan Ball được sản xuất bởi ai?,"UMEKEN Co., Ltd Nhật Bản, nổi tiếng trên thị trường từ 1978."
4. Kidney & Men's,
Tên sản phẩm là gì?,Kidney & Men's
Sản phẩm này có điểm nổi bật gì?,"Công thức kết hợp đồng thời 8 dược liệu quý hiếm Nhật Bản (Sâm Cau, Bạch Quả, Phá Cố Chỉ, Nhân Sâm, Nhung Hươu, Nhục Thung Dung, Sơn Thù Du, Rễ Củ Mài). Đây là sản phẩm bổ thận và sinh lý nam cao cấp nhất trên thị trường."
Công dụng của Kidney & Men's là gì?,"Tăng cường hormone testosterone, hỗ trợ bổ thận, tráng dương, tăng cường sức khỏe sinh lực nam giới."
Liều dùng của Kidney & Men's như thế nào?,"6 viên/ngày (2 lần/ngày, mỗi lần 3 viên)."
Quy cách và giá của Kidney & Men's là bao nhiêu?,"Hộp 180 viên, giá 1.850.000₫."
Kidney & Men's được sản xuất bởi ai?,"Waki Pharmaceutical Co., Ltd Nhật Bản, uy tín từ 1882."
5. Power HLP,
Tên sản phẩm là gì?,Power HLP
Sản phẩm này có điểm nổi bật gì?,"Bí quyết phòng ngừa và hồi phục đột quỵ từ Nhật Bản. Nguồn nguyên liệu trùn đất được Waki trực tiếp nuôi và thu hoạch tại Zara, Nhật Bản theo quy trình đạt chuẩn GMP. Quy trình sản xuất trùn đất được cấp bằng sáng chế độc quyền tại Nhật Bản, Mỹ và được công nhận là thuốc điều trị tại nhiều nước."
Công dụng của Power HLP là gì?,"Giảm hình thành và làm tan cục máu đông trong lòng mạch, phòng ngừa nguy cơ đột quỵ và hỗ trợ phục hồi nhanh sau đột quỵ, giảm nguy cơ xơ vữa mạch máu, giảm cholesterol và mỡ máu."
Liều dùng của Power HLP như thế nào?,"Duy trì 2 viên/ngày. Tăng cường 4 viên/ngày (2 lần/ngày, mỗi lần 2 viên)."
Quy cách và giá của Power HLP là bao nhiêu?,"Hộp 60 viên, giá 950.000₫."
Power HLP được sản xuất bởi ai?,"Waki Pharmaceutical Co., Ltd Nhật Bản, uy tín từ 1882."
6. The Reishi,
Tên sản phẩm là gì?,The Reishi
Sản phẩm này có điểm nổi bật gì?,Công thức kết hợp 2IN1 Xích Linh Chi (120mg/viên) và Nấm Agaricus (50mg/viên) từ Nhật Bản. Hàm lượng nấm linh chi cao 480mg/liều dùng.
